ISBN,Título,Resumo,Imagem_Lisboa,Autor_Beja,Publicacao_Beja,Colecao_Beja,Assuntos_Beja,CDU_Beja
978-989-623-900-8,Esta história não é sobre uma gatinha,"Uma gatinha abandonada gera uma onda de solidariedade no sentido de a salvarem e lhe darem uma família humana que a protegesse; paradoxalmente, ela vai gerar uma outra onda, esta de convívio e descoberta mútua dos vizinhos. Dois aspetos são fundamentais neste álbum - o ritmo do texto e os valores transmitidos -, para lá de uma ilustração dinâmica, muito sugestiva e em permanente diálogo com o texto. A narrativa assenta em sequências que remetem para as lengalengas e transmite um olhar afetivo sobre os gatos; o final incide sobre a vida em comunidade e os laços que se estreitam, neste caso a partir de uma gatinha.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=573302&img=75136&res=100&thb=1&pag=1,"Sève, Randall;Ellis, Carson, 1975-, il.;Ferreira, Susana Cardoso, 1972-, trad.","Lisboa : Fábula, 2023",,,087.5(5-10)
978-972-24-1205-6,O nabo gigante,"Conto tradicional russo, reescrito por Tolstoi, apresenta-se em nova reedição. A qualidade do texto assenta no modelo da toada sem fim, o que gera grande adesão dos jovens leitores. A união faz a força, onde todos contam incluindo um ratinho, é a ideia nuclear que não perde actualidade.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=579713&img=77307&res=100&thb=1&pag=1,,,,,
978-989-749-165-8,O pirilampo muito só,"Um pequeno pirilampo procura na noite escura outros pirilampos como ele. Descobre que há vários objetos e animais que emitem e refletem luz, mas o pirilampo não desiste e talvez acabe por encontrar o que tanto deseja: um lugar de pertença. A intensidade das ilustrações de Eric Carle transmite na perfeição o ambiente noturno e os elementos brilhantes da última página vão surpreender todos os leitores. Esta é uma história de resiliência e esperança, da busca incessante por integração e comunidade.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=558182&img=70431&res=100&thb=1&pag=1,"Carle, Eric, 1929-2021;Carle, Eric, 1929-2021, il.;Almeida, Carla Maia de, 1969-, trad.","Matosinhos : Kalandraka, 2023",Livros para sonhar,Literatura Americana,087.5(0-5)
978-989-9071-56-8,O caminho para casa,"Mais um álbum, com a qualidade notável a que Oliver Jeffers nos habituou, que tem como protagonista um rapaz com uma camisola às riscas vermelhas e um gorro (aqui substituído pelo capacete de piloto). A aventura tem a lua como espaço especial, já que ali se encontram o nosso herói com um avião sem combustível e um marciano com a sua nave avariada. A interajuda vai resolver as situações. A última página é de uma subtileza marcante. A imaginação e o sentido de humor, para lá do hino à amizade entre desconhecidos, dão-nos um livro notável.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=558157&img=70361&res=100&thb=1&pag=1,"Jeffers, Oliver, 1977-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2023",Orfeu mini,Literatura Australiana,087.5(5-10)
978-989-8205-61-2,Crocodilo e girafa : uma família igual às outras,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=557644&img=67960&res=100&thb=1&pag=1,"Kulot, Daniela;Brandão, Maria Hermínia, trad.","Matosinhos : Kalandraka, 2011",Livros para sonhar,Pré-leitores,087.5(5-10)
978-989-623-897-1,O pequeno robot de madeira e a princesa de lenha,"Num reino distante, há muito que o rei e a rainha desejavam ser pais. Então, com a ajuda de uma inventora habilidosa e de uma bruxa sábia, receberam com alegria não um, mas dois filhos: um pequeno robot de madeira e uma princesa feita de um toro de lenha. Os dois irmãos eram muito amigos e viviam felizes no castelo. Até que, um dia, a princesa desaparece e o seu irmão vai lançar-se numa aventura para a trazer de volta a casa. Mas ele próprio vai ficar em grande perigo.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555466&img=66641&res=100&thb=1&pag=1,"Gauld, Tom, 1976-;Ferreira, Susana Cardoso, 1972-, trad.","Lisboa : Fábula, 2023",,Literatura Escocesa,087.5(5-10)
978-989-623-896-4,O que fazem os sentimentos quando ninguém está a ver,"""Neste livro, os sentimentos e emoções são representados como criaturas estranhas, misteriosas. Umas são calmas, outras agitadas, há as amáveis e as mal-dispostas... São todas diferentes entre si, mas vivem no mesmo local. ""[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555704&img=66959&res=100&thb=1&pag=1,"Oziewicz, Tina, 1971-;Zajac, Aleksandra, 1988-, il.;Swiatkiewicz, Teresa Fernandes, trad.","Lisboa : Fábula, 2023",,Literatura Polaca,087.5(5-10)
978-989-623-699-1,Perdido,"Um urso polar dá por si longe de casa, num lugar estranhíssimo para ele: uma cidade. E toda a gente parece demasiado distraída e ocupada para o ajudar. A maior parte das pessoas olha para ecrãs e ninguém está interessada nele, apesar de ser tão diferente dos demais. Mas eis que uma menina vem em seu auxílio e lhe mostra que até numa grande cidade é possível encontrar amizade e solidariedade.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555532&img=66651&res=100&thb=1&pag=1,"Ilustrajo, Mariajo;Ferreira, Susana Cardoso, 1972-, trad.","Lisboa : Fábula, 2023",,Literatura Espanhola,087.5(5-10)
978-989-9071-38-4,E se...,"Os macacos adoram mangas. Mas há tigres lá em baixo... A mãe disse-lhes ""Façam o que fizerem, NÃO se aproximem da árvore das mangas"". Mas é mesmo uma pena. São tão docinhas e sumarentas. E se fossem só ver as mangas? Aqui há tigres? Não! Ali há tigres? Não! Não há cá tigres. Podemos ir.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555318&img=66871&res=100&thb=1&pag=1,"Haughton, Chris, 1978-;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2022",Orfeu mini,Literatura Irlandesa,087.5(0-5)
978-989-9071-40-7,Os Nicos em A camisola nova,"O que os Nicos tinham de especial era serem todos iguais. Eram muitos, mesmo muitos. Até ao dia em que o Roberto tricotou uma camisola nova. Os outros Nicos ficaram horrorizados, mas aos poucos começaram a aparecer camisolas novas por todo o lado. Ser diferente e ser o primeiro são actos de coragem, mas um Nico pode mudar todos os Nicos.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555315&img=66800&res=100&thb=1&pag=1,"Jeffers, Oliver, 1977-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2023",Orfeu Mini,Literatura Australiana,087.5(5-10)
978-989-53618-6-1,"Esconde, esconde","Este livro-acordeão celebra as histórias e brincadeiras infantis, dialogando com personagens bem conhecidas dos leitores. A urgência do virar de página - e da infância - é sugerida pelo texto anafórico e as ilustrações criativas oferecem um contributo muito significativo para a educação plástica do público infantil.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=560399&img=70432&res=100&thb=1&pag=1,"Peixeiro, Isabel, 1982-;Bico, Catarina, il.","[S.l.] : UPA, 2023",,Literatura Portuguesa,087.5(0-5)
978-989-8879-90-5,Arrisca,"Os medos infantis são equacionados simbolicamente nesta narrativa. No processo educativo há um natural equilíbrio, nas experiências que a criança vivencia, entre o seguro e o que envolve risco. Aqui, à retração segue-se a experimentação, sempre com uma personagem que desafia, mas acompanha o iniciado. Trata-se de um álbum que ajuda a ler o mundo envolvente e a estimular a descoberta do outro e do seu espaço.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=563568&img=74431&res=100&thb=1&pag=1,"Rim, Sujean","Lisboa : Zero a Oito, 2023",Crescer a aprender,Literatura Americana,087.5(5-10)
978-989-577-010-6,Tudo o que aconteceu antes de chegares,"Uma grande originalidade no discurso narrativo e na sua integração no contexto de uma gravidez. O narrador autodiegético - o pequeno irmão do nascituro - vai contando ao irmão que está na barriga da mãe o que se passa naquela casa e como todos estão a acompanhar o seu crescimento. A naturalidade da conversação, ainda que num único sentido, sobre o quotidiano daquela família, incluindo o cão. é marcante, com especial incidência nas preocupações e reflexões. A ilustração é muito original e integra-se perfeitamente na dinâmica do conto.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=573110&img=74269&res=100&thb=1&pag=1,"Frankel, Yael, 1967-;Basch, Sonia, il.;Mira, Rita 1973-, trad.","[S.l.] : Cultura, 2023",,Pré-leitores,087.5(5-10)
978-989-9071-68-1,A grande baleia,"Benji Davies regressa com mais um episódio da vida de Noé. Desta vez, a avó conta-lhe uma história para o acalmar numa noite de tempestade e Noé vai descobrir que a ligação da sua família com as baleias começou há muitos anos. Num livro sobre perda e reconstrução e sobre a criação de laços afetivos entre humanos e animais, sobressai a expressividade das ilustrações de Benji Davies, que recriam magistralmente a beleza e intensidade das paisagens costeiras.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=563364&img=70584&res=100&thb=1&pag=1,"Davies, Benji, 1980-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2023",Orfeu Mini,Literatura Inglesa,087.5(5-10)
978-989-9071-69-8,Feijão e a avó,"Feijão e a Avó foram passear num dia sombrio, junto ao mar. Fizeram corridas e novos amigos. Venceram as dunas e outros perigos. Guardaram as conchas de outra maré vaza... e de corações cheios voltaram para casa. Um poema ilustrado, com as melhores memórias da infância.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=563321&img=74897&res=100&thb=1&pag=1,"Hesse, Karen, 1952-;Voake, Charlotte, 1957-, il.;Berhan, João, trad.","Lisboa : Orfeu Negro, 2023",,Literatura Americana,087.5(5-10)
978-972-21-3238-1,Esta história,"""Esta história"" é um convite ao leitor exigente. Entre argumentos insistentemente questionados, a história avança num diálogo marcado pela intermitência exuberante das ilustrações. Atravessando as geografias fantasiosas do imaginário, quem lê experimenta vibrar, criar e decidir se afinal quer ler ""Esta história"".[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=570111&img=74780&res=100&thb=1&pag=1,"Machado, David, 1978-;Fazenda, João, 1979-, il.","Alfragide : Caminho, 2023",,Literatura Portuguesa,087.5(5-10)
978-989-53618-9-2,Sobe,"Furacim sai do seu castelo, pela manhã, à procura de aventura. Pelo caminho, vai conhecendo pessoas interessantes, que se juntam à viagem, porque “onde cabe um, cabem dois”... A história – também viagem –avança com humor por geométricas paisagens, de cores primárias, preto e branco, num convite à descoberta de diferentes ritmos, sonoridades e à cumplicidade entre quem lê e quem ouve ler, desafiando a que “quem quiser conte outra vez!”.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=569988&img=75147&res=100&thb=1&pag=1,"Pittman, Nuppita;Barata, Joana, 1989-, trad.","[S.l.] : UPA, 2023",,,087.5(0-5)
978-989-749-175-7,Debaixo da mesma lua,"Em cima de um banco rasteiro, de braços pacientemente pousados no parapeito da grande janela, o pequeno Han está à espera. Ao fundo da paisagem, entre o azul do céu e o verde do jardim, aparece um leão que caminha até à casa do Han, com uma pata ferida. O pequeno grita Está a chegar, está a chegar!, socorre-o com todo o cuidado e conforta-o. O leão agradece e segue o seu caminho. Han faz o mesmo e volta para cima do rasteiro banco. De bracinhos sob o parapeito Han continua à espera. Ao fundo, lá fora, surge um elefante de olhos tristes e presa partida. Está a chegar, está a chegar! e com diligência cuida e conforta-o. O elefante agradece e segue o seu caminho. O tempo passa e, debaixo da mesma lua, a esperança aguarda vigilante sob o parapeito até que chega uma noite que conhece as palavras: Mãe, está alguém a chegar.. Han é a força da crença de que algo bom vai acontecer.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=569865&img=73060&res=100&thb=1&pag=1,"Liao, Jimmy, 1958-;Noronha, Ana M., trad.;Ignomeriello, Domenica, trad.","Matosinhos : Kalandraka, 2023",,Literatura Chinesa,087.5(5-10)
978-989-53618-8-5,Pássaros na mão,"A adaptação de uma conhecida lengalenga, que vai do mindinho ao polegar, dá o mote para que os dedos das mãos se tornem árvores e pássaros. Este livro, com páginas desdobráveis, é um apelo à imaginação e à liberdade, dialogando com um poema de Natália Correia e agradando tanto a crianças como a adultos. A criatividade do formato, das intertextualidades e das metamorfoses inesperadas oferece um contributo valioso para a educação literária dos leitores.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562811&img=70445&res=100&thb=1&pag=1,"Peixeiro, Isabel, 1982-;Nor, Emília, il.","[S.l.] : UPA, 2023",,Literatura Portuguesa,087.5(0-5)
978-989-623-938-1,Ventania,"A birra de Vasco transforma-se numa terrível ventania que varre a cidade. Momentos de reflexão levam-no a ver a beleza das coisas e a perceber que teria sido melhor pensar duas vezes. Este álbum apresenta-se como um objecto bem concebido, já que a ilustração dialoga permanentemente com o texto verbal e a própria capa e respetivas guardas dão uma unidade flagrante à narrativa, como um todo. O jovem leitor identifica-se facilmente com o protagonista e reconhece-se em múltiplas situações do conto. É um livro oCaim e Abel, dois irmãos gémeos, os seus nomes marcam as suas vidas. Assim batizados pela raiva do pai. Nomes que são presságio e arrependimento, atemorizando a mãe. Uma vida comum de desentendimento; com a doença e a proximidade da morte, a redenção. Dois rapazes, crescem e sofrem, distanciam-se, amam. O amor ganha-se e perde-se, confrontando-se cada um com o seu caminho. Conflito. Quem ama quem? Quem cala o amor? Quem se encontra? Quem se apaga? Quando se silencia, se foge, se esconde, se deseja, se perde o norte, tudo fica assente em dor e violência muda. Uma mãe que abandona o filho na rua, desligando-se por momentos; uma criança que se eclipsa. Um acaso. nde todos os pormenores são cuidados e a fruição estética é uma realidade.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=568742&img=72766&res=100&thb=1&pag=1,"Greig, Louise, 1962-;Sardà, Júlia, il.;Ferreira, Susana Cardoso, 1972-, trad.","Lisboa : Fábula, 2023",,Estórias sobre sentimentos,087.5(5-10)
978-989-9071-67-4,Como é que o Pai Natal desce pela chaminé?,Uma pergunta que gera um sem número de outras questões e hipóteses de resposta. Um excelente exercício de imaginação e reflexão que desafia a lógica infantil. A perceção do certo/errado rende-se ao elemento afetivamente essencial - os presentes de Natal que não podem faltar. Ilustração com muita qualidade e em plena articulação com o texto.[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562639&img=70671&res=100&thb=1&pag=1,"Barnett, Mac, 1982-;Klassen, Jon, 1981-, il.;Lopes, Rui, trad.","Lisboa : Orfeu negro, 2023",Orfeu Mini,Literatura Americana,087.5(0-5)
978-989-9061-19-4,O ponto em que estamos,"Um grito contra a poluição e o desperdício e um apelo à mudança a começar por nós. Frases concisas que encerram um enorme potencial de reflexão. Jogando na antítese hiperbólica, o leitor descobre o absurdo das situações que nos afetam em maior ou menor grau - o consumismo potenciado por discursos ambíguos. O desperdício poluente constitui um elemento focado com rigor. As metáforas são oportunas e muito sugestivas. A ilustração tem qualidade plástica apelativa. O paradoxo final - tudo em grande num ponto tão pequeno do Universo.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=566018&img=74333&res=100&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Carvalho, Bernardo Pego de, 1973-, il.","Carcavelos : Planeta Tangerina, 2023",,Educação Ambiental,087.5:502
978-989-9071-63-6,Aqui estamos nós : livro das cores,"A aprendizagem da cor é uma etapa fundamental do desenvolvimento humano. As cores ajudam a conhecer o mundo, são reguladoras de emoções e encorajam a exploração visual e a expressão verbal. Com este livro do premiado ilustrador Oliver Jeffers, há espaço para relacionar cores com seres vivos, objectos, sensações e, um dia, as primeiras palavras.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=565928&img=74749&res=100&thb=1&pag=1,"Jeffers, Oliver, 1977-;Lopes, Rui, trad.","LIsboa : Orfeu Negro, 2018",Orfeu mini,Literatura Australiana,087.5(0-5)
978-972-0-71168-7,Biblioteca do bebé : livros de alto-contraste,"Esta série de três livros cartonados, de imagens e sem texto, insere-se no segmento dos livros de conceitos que, neste caso, exploram variações de rostos, alguns pormenores das ilustrações e as narrativas muito simples, proporcionando não só um contacto precoce com o objeto-livro, mas também um estímulo linguístico interessante.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=564976&img=71485&res=100&thb=1&pag=1,"Almeida, Clementina;Almeida, Andreia, il.","Porto : Porto, 2021",Biblioteca do bebé,Pré-leitores,087.5(0-5)
978-989-785-221-3,Olivia... e o brinquedo desaparecido,"A Olivia tem um brinquedo de que gosta mesmo muito. Por isso, quando ele desaparece, fica chateada! Procura-o por todo o lado, pergunta por ele lá em casa, mas... nada! Certa noite, ouve um barulho horrível. Parece-lhe um monstro. Será mesmo? E o que segura ele nos dentes?[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=564035&img=70941&res=100&thb=1&pag=1,"Falconer, Ian, 1959-2023;Lucas, Elisabete, trad.","Lisboa : Gradiva, 2023",Gradiva Júnior,Literatura Americana,087.5(0-5)
978-989-749-170-2,Tartaruga vs Lebre : a desforra,"Depois de perder na célebre corrida com a Tartaruga, a Lebre quer a desforra. Contudo, a vitória não está assegurada e a astúcia da Tartaruga não para de surpreender. Este livro ativa conhecimentos intertextuais relevantes e vai conquistar os leitores com as engenhosas soluções encontradas pela Tartaruga. A articulação entre texto e ilustração requer uma interpretação atenta e conjunta das duas linguagens e talvez os leitores mais perspicazes descubram a estratégia final da Tartaruga antes desta ser revelada à Lebre.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562389&img=70364&res=100&thb=1&pag=1,"Pintor, David, 1975-;Ferreira, Margarida, trad.","Matosinhos : kalandraka, 2023",Livros para sonhar,Pré-leitores,087.5(0-5)
978-989-749-163-4,"Papá, por favor, apanha-me a lua","No início do livro, uma menina vê a Lua brilhante no céu e fica encantada com a sua beleza. Decide que quer tê-la para si e pede ao pai que a alcance. No entanto, o pai diz-lhe que é impossível apanhar a lua. Determinada a conseguir ter o que deseja, a menina começa a sair todas as noites e a subir às árvores, às montanhas e até mesmo a andar de baloiço com muita força, tentando apanhar a lua. A cada página, a menina tenta uma nova estratégia, mas nenhuma tem sucesso. O pai apoia-a nas suas tentativas. No final, eles sentam-se um ao lado do outro e o pai explica que a lua é inatingível, mas que podem sempre olhar para ela e sonhar juntos.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=560896&img=68924&res=100&thb=1&pag=1,"Carle, Eric, 1929-2021;Afonso, Lisete, trad.;Buratti, Isabelle, trad.","Matosinhos : Kalandraka, 2024",Livros para sonhar,Literatura Americana,087.5(0-5)
978-989-9068-77-3,Além,"A vida arriscada no Circo Galáxia leva a que os artistas falem frequentemente sobre a morte e o que haverá depois. As convicções são muito variadas, baseando-se nas crenças mais populares dos contextos religiosos e culturais em que se inserem estes corajosos animais. O leitor tem assim a possibilidade de contactar com pontos de vista diversos e refletir sobre eles, compreendendo que não existe uma resposta única para uma questão tão complexa. As ilustrações contribuem para o tratamento lúdico do tema sem desconsiderar a expressão visual de cada sugestão, oferecendo também à obra uma relevante dimensão intertextual e multicultural.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562821&img=70419&res=100&thb=1&pag=1,"Fernández, Silvia;Fernández, David, co-autor;López, Mercè, 1979-, il.;Salgueiro, Andreia, trad.","[Alcochete] : Alfarroba, 2023",,Literatura Espanhola,087.5(5-10)
978-84-18972-39-3,Vamos à praia,"Um livro, sem palavras, com ilustrações bucólicas que nos transporta para o prazer da brincadeira e do desfrutar da natureza, sem pressas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=560857&img=68914&res=100&thb=1&pag=1,"Fabregat, Verónica, 1978-","Barcelona : Akiara Books, 2023",Akimira ; 2,Literatura Espanhola,087.5(5-10)
978-989-9068-72-8,"Agostinho, o porco espinho ; Carminho, a porco espinho","O leitor é surpreendido pela estrutura do livro, já que há dois inícios, separados, que conduzem a um final comum às duas narrativas. Trata-se de uma história de amor, onde um aparente defeito dos protagonistas, gerador de respostas desagradáveis, se transforma em espaço de enamoramento. O livro vale pela originalidade da concepção e por uma ilustração expressiva.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562695&img=70425&res=100&thb=1&pag=1,"Loureiro, Milu","[S.l.] : Alfarroba, 2023",,Estórias sobre sentimentos,087.5(5-10)
978-989-53618-7-8,Livro do Verão,"Verão é sinónimo de praia, dias longos, noites quentes, fruta fresca e liberdade. Repleto de sugestões sinestésicas, este livro-álbum celebra a estação do ano mais alegre, através de um contido texto em rima e ilustrações apelativas, com formas generosas e cores vivas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562624&img=70484&res=100&thb=1&pag=1,"Barata, Joana, 1989-;Soares, Mariana, il.","[S.l.] : UPA, 2023",,Literatura Portuguesa,087.5(0-5)
978-989-9061-17-0,"Por exemplo, uma rosa","O nosso mundo está cheio de seres e de objetos diferentes, com características que os aproximam ou afastam, de “coisas”, que podemos ver ou não... E de palavras: as palavras que as nomeiam, as palavras que designam o que elas contêm e as características que possuem. Um livro para descobrir o mundo e explorar diferentes vertentes de “coisas” e palavras que nele existem – ou (ainda) não e talvez venham a existir.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562623&img=70546&res=100&thb=1&pag=1,"Pessoa, Ana, 1982-;Matoso, Madalena, 1974-, il.","Carcavelos : Planeta Tangerina, 2023",,Literatura Portuguesa,087.5(0-5)
978-989-9071-58-2,Vinte perguntas,"Este livro-álbum deixa no ar vinte perguntas e não há respostas certas ou erradas. Os leitores são convidados a olhar atentamente para as ilustrações e a dar asas à sua criatividade e imaginação. A leitura promete ser animada e muito divertida, proporcionando discussões intermináveis e, quem sabe, alguma negociação.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562622&img=70485&res=100&thb=1&pag=1,"Barnett, Mac, 1982-;Robinson, Christian, 1986-, il.","Lisboa : Orfeu Negro, 2023",Orfeu Mini,Literatura Americana,087.5(0-5)
978-989-8879-57-8,O lobo em cuecas,"Todos têm medo do lobo. Dos seus olhos assustadores, dos seus uivos e dos seus dentes afiados. Um dia, o lobo desce à floresta e leva os habitantes a questionar alguns boatos e crenças, dando cabo do negócio dos que lucravam com o medo instalado. Fica, no entanto, por explicar onde estão os três porquinhos que desapareceram da floresta... Divertido e surpreendente, o primeiro volume desta série de banda desenhada propõe uma reflexão sobre oportunismo e sobre o modo como rumores e preconceitos semeiam e alimentam o medo do desconhecido.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",,,,,,
978-989-53944-4-9,Dentes de leão,"Um livro de “microcontos” em que cada página é uma história, devidamente acompanhado por uma ilustração. São contos simples, rápidos e acessíveis para os mais novos.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=561479&img=69188&res=100&thb=1&pag=1,"Ribeiro, João Manuel, 1968-;Oliveira, Soraia, 1992-, il.","Porto : Trinta por uma linha, 2023",,Literatura Portuguesa,087.5(5-10)
978-989-784-727-1,No momento perfeito,"A importância da amizade que se traduz no sentido de ajudar os outros, pelo simples facto de sermos solidários. Todos os momentos são perfeitos para a interajuda, de forma desinteressada, já que a felicidade que dali emana aquece a alma. E quando sentimos o calor da amizade, o mundo torna-se melhor.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=558136&img=70362&res=100&thb=1&pag=1,"Isern, Susanna, 1978-;Somà, Marco, 1983-, il.;Custódio, Rita, 1980-, trad.;Tarradellas, Àlex, 1982-, trad.","Lisaboa : Minutos de Leitura, 2022",,Literatura Espanhola,087.5(5-10)
978-972-0-71520-3,"Toca, sente e aprende","Este livro, de dimensões generosas e com um conjunto interessante de estratégias para promover uma experiência de leitura sensorial e interativa - através do uso de verniz brilhante, texturas, alto e baixo relevo, abas para levantar e puxar -, permite aos leitores mais pequenos o primeiro contacto com o abecedário e algumas palavras, os números, as cores, as formas, os opostos e as emoções. As páginas cartonadas garantem durabilidade e os cantos arredondados convidam ao manuseamento autónomo.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562621&img=70482&res=100&thb=1&pag=1,"Robichaud, Danielle;Ordàs, Emi, il.;Shutterstock, il.","Porto : Porto, 2022",,,087.5(0-5)
978-989-53218-1-0,Isto não é,"Este pequeno livro explora uma relação original entre as imagens e o texto, uma vez que este não descreve ou legenda as imagens, mas diz antes o que elas não são, o que conduz o leitor à procura de relações e afinidades das imagens com esses conceitos negados. A leitura quase se automatiza nesse processo, até às últimas páginas, que incluem uma surpresa.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=535290&img=62309&res=100&thb=1&pag=1,"Taylor, Marco, 1973-","[S.l.] : [s.n.], 2022",,Literatura Portuguesa,087.5(0-5)
978-989-564-887-0,Os tesouros do Leopoldo,"O Leopoldo coleciona, em frasquinhos, as suas memórias e todas as coisas boas que experiencia. Na sua casa, guarda tesouros como o som do mar, as folhas que caem no outono ou o vento que sopra antes da neve cair. Um dia, conhece alguém com quem pode partilhar e continuar a recolher memórias, mas a hora de dizer adeus assemelha-se a um frasco vazio. Neste livro-álbum, as ilustrações delicadas e evocativas captam o encanto das pequenas coisas, acrescentando sensibilidade a uma história sobre a amizade, a memória e a importância de aproveitar e partilhar os momentos felizes.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=527994&img=81662&res=100&thb=1&pag=1,"Marcero, Deborah;Ferreira, Susana Cardoso, 1972-, trad.","Lisboa : Fábula, 2022",,Literatura Americana,087.5(5-10)
