ISBN,Idade,Título,Resumo,Imagem_Lisboa,Autor_Beja,Publicacao_Beja,Colecao_Beja,Assuntos_Beja,CDU_Beja
978-972-21-3238-1,3-5,Esta história,"""Esta história"" é um convite ao leitor exigente. Entre argumentos insistentemente questionados, a história avança num diálogo marcado pela intermitência exuberante das ilustrações. Atravessando as geografias fantasiosas do imaginário, quem lê experimenta vibrar, criar e decidir se afinal quer ler ""Esta história"".[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=570111&img=74780&res=100&thb=1&pag=1,"Machado, David, 1978-;Fazenda, João, 1979-, il.","Alfragide : Caminho, 2023",,Literatura Portuguesa,087.5(5-10)
978-989-53618-9-2,3-5,Sobe,"Furacim sai do seu castelo, pela manhã, à procura de aventura. Pelo caminho, vai conhecendo pessoas interessantes, que se juntam à viagem, porque “onde cabe um, cabem dois”... A história – também viagem –avança com humor por geométricas paisagens, de cores primárias, preto e branco, num convite à descoberta de diferentes ritmos, sonoridades e à cumplicidade entre quem lê e quem ouve ler, desafiando a que “quem quiser conte outra vez!”.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=569988&img=75147&res=100&thb=1&pag=1,"Pittman, Nuppita;Barata, Joana, 1989-, trad.","[S.l.] : UPA, 2023",,,087.5(0-5)
978-989-749-175-7,3-5,Debaixo da mesma lua,"Em cima de um banco rasteiro, de braços pacientemente pousados no parapeito da grande janela, o pequeno Han está à espera. Ao fundo da paisagem, entre o azul do céu e o verde do jardim, aparece um leão que caminha até à casa do Han, com uma pata ferida. O pequeno grita Está a chegar, está a chegar!, socorre-o com todo o cuidado e conforta-o. O leão agradece e segue o seu caminho. Han faz o mesmo e volta para cima do rasteiro banco. De bracinhos sob o parapeito Han continua à espera. Ao fundo, lá fora, surge um elefante de olhos tristes e presa partida. Está a chegar, está a chegar! e com diligência cuida e conforta-o. O elefante agradece e segue o seu caminho. O tempo passa e, debaixo da mesma lua, a esperança aguarda vigilante sob o parapeito até que chega uma noite que conhece as palavras: Mãe, está alguém a chegar.. Han é a força da crença de que algo bom vai acontecer.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=569865&img=73060&res=100&thb=1&pag=1,"Liao, Jimmy, 1958-;Noronha, Ana M., trad.;Ignomeriello, Domenica, trad.","Matosinhos : Kalandraka, 2023",,Literatura Chinesa,087.5(5-10)
978-972-24-2072-3,3-5,A mãe é minha!,"Um excelente trabalho que retrata a relação umbilical de mãe e filho/a. Discurso de primeira pessoa, onde o/a filho/a descreve o quotidiano familiar e as múltiplas situações, ora agradáveis, ora menos boas, que vivencia. A delicadeza e a observação do autor permitem que fruamos um texto seguro que vai ao encontro de pais e filhos e, em particular, de mãe e filho/a. O título traduz uma enorme capacidade de síntese, temperada por uma boa dose de humor.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=558298&img=67858&res=100&thb=1&pag=1,"Sá, Eduardo, 1962-;Galindro, Paulo, 1970-, il.","Lisboa : Livros Horizonte, 2023",Álbuns 58265,Literatura Portuguesa,087.5(5-10)
978-989-623-938-1,3-5,Ventania,"A birra de Vasco transforma-se numa terrível ventania que varre a cidade. Momentos de reflexão levam-no a ver a beleza das coisas e a perceber que teria sido melhor pensar duas vezes. Este álbum apresenta-se como um objecto bem concebido, já que a ilustração dialoga permanentemente com o texto verbal e a própria capa e respetivas guardas dão uma unidade flagrante à narrativa, como um todo. O jovem leitor identifica-se facilmente com o protagonista e reconhece-se em múltiplas situações do conto. É um livro oCaim e Abel, dois irmãos gémeos, os seus nomes marcam as suas vidas. Assim batizados pela raiva do pai. Nomes que são presságio e arrependimento, atemorizando a mãe. Uma vida comum de desentendimento; com a doença e a proximidade da morte, a redenção. Dois rapazes, crescem e sofrem, distanciam-se, amam. O amor ganha-se e perde-se, confrontando-se cada um com o seu caminho. Conflito. Quem ama quem? Quem cala o amor? Quem se encontra? Quem se apaga? Quando se silencia, se foge, se esconde, se deseja, se perde o norte, tudo fica assente em dor e violência muda. Uma mãe que abandona o filho na rua, desligando-se por momentos; uma criança que se eclipsa. Um acaso. nde todos os pormenores são cuidados e a fruição estética é uma realidade.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=568742&img=72766&res=100&thb=1&pag=1,"Greig, Louise, 1962-;Sardà, Júlia, il.;Ferreira, Susana Cardoso, 1972-, trad.","Lisboa : Fábula, 2023",,Estórias sobre sentimentos,087.5(5-10)
978-989-53618-7-8,3-5,Livro do Verão,"Verão é sinónimo de praia, dias longos, noites quentes, fruta fresca e liberdade. Repleto de sugestões sinestésicas, este livro-álbum celebra a estação do ano mais alegre, através de um contido texto em rima e ilustrações apelativas, com formas generosas e cores vivas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562624&img=70484&res=100&thb=1&pag=1,"Barata, Joana, 1989-;Soares, Mariana, il.","[S.l.] : UPA, 2023",,Literatura Portuguesa,087.5(0-5)
978-989-9061-19-4,3-5,O ponto em que estamos,"Um grito contra a poluição e o desperdício e um apelo à mudança a começar por nós. Frases concisas que encerram um enorme potencial de reflexão. Jogando na antítese hiperbólica, o leitor descobre o absurdo das situações que nos afetam em maior ou menor grau - o consumismo potenciado por discursos ambíguos. O desperdício poluente constitui um elemento focado com rigor. As metáforas são oportunas e muito sugestivas. A ilustração tem qualidade plástica apelativa. O paradoxo final - tudo em grande num ponto tão pequeno do Universo.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=566018&img=74333&res=100&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Carvalho, Bernardo Pego de, 1973-, il.","Carcavelos : Planeta Tangerina, 2023",,Educação Ambiental,087.5:502
978-989-9071-63-6,3-5,Aqui estamos nós : livro das cores,"A aprendizagem da cor é uma etapa fundamental do desenvolvimento humano. As cores ajudam a conhecer o mundo, são reguladoras de emoções e encorajam a exploração visual e a expressão verbal. Com este livro do premiado ilustrador Oliver Jeffers, há espaço para relacionar cores com seres vivos, objectos, sensações e, um dia, as primeiras palavras.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=565928&img=74749&res=100&thb=1&pag=1,"Jeffers, Oliver, 1977-;Lopes, Rui, trad.","LIsboa : Orfeu Negro, 2018",Orfeu mini,Literatura Australiana,087.5(0-5)
978-972-0-71168-7,3-5,Biblioteca do bebé : livros de alto-contraste,"Esta série de três livros cartonados, de imagens e sem texto, insere-se no segmento dos livros de conceitos que, neste caso, exploram variações de rostos, alguns pormenores das ilustrações e as narrativas muito simples, proporcionando não só um contacto precoce com o objeto-livro, mas também um estímulo linguístico interessante.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=564976&img=71485&res=100&thb=1&pag=1,"Almeida, Clementina;Almeida, Andreia, il.","Porto : Porto, 2021",Biblioteca do bebé,Pré-leitores,087.5(0-5)
978-989-785-221-3,3-5,Olivia... e o brinquedo desaparecido,"A Olivia tem um brinquedo de que gosta mesmo muito. Por isso, quando ele desaparece, fica chateada! Procura-o por todo o lado, pergunta por ele lá em casa, mas... nada! Certa noite, ouve um barulho horrível. Parece-lhe um monstro. Será mesmo? E o que segura ele nos dentes?[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=564035&img=70941&res=100&thb=1&pag=1,"Falconer, Ian, 1959-2023;Lucas, Elisabete, trad.","Lisboa : Gradiva, 2023",Gradiva Júnior,Literatura Americana,087.5(0-5)
978-989-8879-90-5,3-5,Arrisca,"Os medos infantis são equacionados simbolicamente nesta narrativa. No processo educativo há um natural equilíbrio, nas experiências que a criança vivencia, entre o seguro e o que envolve risco. Aqui, à retração segue-se a experimentação, sempre com uma personagem que desafia, mas acompanha o iniciado. Trata-se de um álbum que ajuda a ler o mundo envolvente e a estimular a descoberta do outro e do seu espaço.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=563568&img=74431&res=100&thb=1&pag=1,"Rim, Sujean","Lisboa : Zero a Oito, 2023",Crescer a aprender,Literatura Americana,087.5(5-10)
978-989-9071-68-1,3-5,A grande baleia,"Benji Davies regressa com mais um episódio da vida de Noé. Desta vez, a avó conta-lhe uma história para o acalmar numa noite de tempestade e Noé vai descobrir que a ligação da sua família com as baleias começou há muitos anos. Num livro sobre perda e reconstrução e sobre a criação de laços afetivos entre humanos e animais, sobressai a expressividade das ilustrações de Benji Davies, que recriam magistralmente a beleza e intensidade das paisagens costeiras.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=563364&img=70584&res=100&thb=1&pag=1,"Davies, Benji, 1980-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2023",Orfeu Mini,Literatura Inglesa,087.5(5-10)
978-989-9068-77-3,3-5,Além,"A vida arriscada no Circo Galáxia leva a que os artistas falem frequentemente sobre a morte e o que haverá depois. As convicções são muito variadas, baseando-se nas crenças mais populares dos contextos religiosos e culturais em que se inserem estes corajosos animais. O leitor tem assim a possibilidade de contactar com pontos de vista diversos e refletir sobre eles, compreendendo que não existe uma resposta única para uma questão tão complexa. As ilustrações contribuem para o tratamento lúdico do tema sem desconsiderar a expressão visual de cada sugestão, oferecendo também à obra uma relevante dimensão intertextual e multicultural.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562821&img=70419&res=100&thb=1&pag=1,"Fernández, Silvia;Fernández, David, co-autor;López, Mercè, 1979-, il.;Salgueiro, Andreia, trad.","[Alcochete] : Alfarroba, 2023",,Literatura Espanhola,087.5(5-10)
978-989-8879-57-8,3-5,O lobo em cuecas,"Todos têm medo do lobo. Dos seus olhos assustadores, dos seus uivos e dos seus dentes afiados. Um dia, o lobo desce à floresta e leva os habitantes a questionar alguns boatos e crenças, dando cabo do negócio dos que lucravam com o medo instalado. Fica, no entanto, por explicar onde estão os três porquinhos que desapareceram da floresta... Divertido e surpreendente, o primeiro volume desta série de banda desenhada propõe uma reflexão sobre oportunismo e sobre o modo como rumores e preconceitos semeiam e alimentam o medo do desconhecido.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",,,,,,
978-989-9061-17-0,3-5,"Por exemplo, uma rosa","O nosso mundo está cheio de seres e de objetos diferentes, com características que os aproximam ou afastam, de “coisas”, que podemos ver ou não... E de palavras: as palavras que as nomeiam, as palavras que designam o que elas contêm e as características que possuem. Um livro para descobrir o mundo e explorar diferentes vertentes de “coisas” e palavras que nele existem – ou (ainda) não e talvez venham a existir.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562623&img=70546&res=100&thb=1&pag=1,"Pessoa, Ana, 1982-;Matoso, Madalena, 1974-, il.","Carcavelos : Planeta Tangerina, 2023",,Literatura Portuguesa,087.5(0-5)
978-989-9071-58-2,3-5,Vinte perguntas,"Este livro-álbum deixa no ar vinte perguntas e não há respostas certas ou erradas. Os leitores são convidados a olhar atentamente para as ilustrações e a dar asas à sua criatividade e imaginação. A leitura promete ser animada e muito divertida, proporcionando discussões intermináveis e, quem sabe, alguma negociação.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562622&img=70485&res=100&thb=1&pag=1,"Barnett, Mac, 1982-;Robinson, Christian, 1986-, il.","Lisboa : Orfeu Negro, 2023",Orfeu Mini,Literatura Americana,087.5(0-5)
978-989-53944-4-9,3-5,Dentes de leão,"Um livro de “microcontos” em que cada página é uma história, devidamente acompanhado por uma ilustração. São contos simples, rápidos e acessíveis para os mais novos.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=561479&img=69188&res=100&thb=1&pag=1,"Ribeiro, João Manuel, 1968-;Oliveira, Soraia, 1992-, il.","Porto : Trinta por uma linha, 2023",,Literatura Portuguesa,087.5(5-10)
978-989-749-170-2,3-5,Tartaruga vs Lebre : a desforra,"Depois de perder na célebre corrida com a Tartaruga, a Lebre quer a desforra. Contudo, a vitória não está assegurada e a astúcia da Tartaruga não para de surpreender. Este livro ativa conhecimentos intertextuais relevantes e vai conquistar os leitores com as engenhosas soluções encontradas pela Tartaruga. A articulação entre texto e ilustração requer uma interpretação atenta e conjunta das duas linguagens e talvez os leitores mais perspicazes descubram a estratégia final da Tartaruga antes desta ser revelada à Lebre.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562389&img=70364&res=100&thb=1&pag=1,"Pintor, David, 1975-;Ferreira, Margarida, trad.","Matosinhos : kalandraka, 2023",Livros para sonhar,Pré-leitores,087.5(0-5)
978-989-749-163-4,3-5,"Papá, por favor, apanha-me a lua","No início do livro, uma menina vê a Lua brilhante no céu e fica encantada com a sua beleza. Decide que quer tê-la para si e pede ao pai que a alcance. No entanto, o pai diz-lhe que é impossível apanhar a lua. Determinada a conseguir ter o que deseja, a menina começa a sair todas as noites e a subir às árvores, às montanhas e até mesmo a andar de baloiço com muita força, tentando apanhar a lua. A cada página, a menina tenta uma nova estratégia, mas nenhuma tem sucesso. O pai apoia-a nas suas tentativas. No final, eles sentam-se um ao lado do outro e o pai explica que a lua é inatingível, mas que podem sempre olhar para ela e sonhar juntos.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=560896&img=68924&res=100&thb=1&pag=1,"Carle, Eric, 1929-2021;Afonso, Lisete, trad.;Buratti, Isabelle, trad.","Matosinhos : Kalandraka, 2024",Livros para sonhar,Literatura Americana,087.5(0-5)
978-84-18972-39-3,3-5,Vamos à praia,"Um livro, sem palavras, com ilustrações bucólicas que nos transporta para o prazer da brincadeira e do desfrutar da natureza, sem pressas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=560857&img=68914&res=100&thb=1&pag=1,"Fabregat, Verónica, 1978-","Barcelona : Akiara Books, 2023",Akimira ; 2,Literatura Espanhola,087.5(5-10)
978-972-0-71520-3,3-5,"Toca, sente e aprende","Este livro, de dimensões generosas e com um conjunto interessante de estratégias para promover uma experiência de leitura sensorial e interativa - através do uso de verniz brilhante, texturas, alto e baixo relevo, abas para levantar e puxar -, permite aos leitores mais pequenos o primeiro contacto com o abecedário e algumas palavras, os números, as cores, as formas, os opostos e as emoções. As páginas cartonadas garantem durabilidade e os cantos arredondados convidam ao manuseamento autónomo.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562621&img=70482&res=100&thb=1&pag=1,"Robichaud, Danielle;Ordàs, Emi, il.;Shutterstock, il.","Porto : Porto, 2022",,,087.5(0-5)
978-972-21-3169-8,3-5,Os números nojentos ou Mais aventuras de um rapaz que gosta de fazer asneiras,"Nesta espécie de numerário, descrevem-se e contabilizam-se as partidas (nojentas) que o Henrique prega a familiares e amigos. As ilustrações caricaturais de David Pintor reforçam a caracterização das personagens e das travessuras, contribuindo para intensificar o efeito de repugnância sugerido pelo texto, frequentemente apreciado pelos leitores mais novos.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555769&img=67064&res=100&thb=1&pag=1,"Machado, David, 1978-;Pintor, David, 1975-, il.","Alfragide : Caminho, 2022",,Literatura Portuguesa,087.5(5-10)
978-989-8868-26-8,3-5,O olharapo,"Contada em versos, esta é uma lengalenga mágica e misteriosa sobre o medo do escuro, das sombras e do papão. O Olharapo vai causar calafrios aos pequenos leitores, mas também risos e surpresas com o seu final inesperado.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=467961&img=44451&res=150&thb=1&pag=1,"Davies, Benji, 1980-;Berhan, João, trad.","Lisboa : Orfeu Negro, 2018",Orfeu Mini,Leitores iniciais,087.5(5-10)
978-989-784-727-1,3-5,No momento perfeito,"A importância da amizade que se traduz no sentido de ajudar os outros, pelo simples facto de sermos solidários. Todos os momentos são perfeitos para a interajuda, de forma desinteressada, já que a felicidade que dali emana aquece a alma. E quando sentimos o calor da amizade, o mundo torna-se melhor.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=558136&img=70362&res=100&thb=1&pag=1,"Isern, Susanna, 1978-;Somà, Marco, 1983-, il.;Custódio, Rita, 1980-, trad.;Tarradellas, Àlex, 1982-, trad.","Lisaboa : Minutos de Leitura, 2022",,Literatura Espanhola,087.5(5-10)
978-989-53218-1-0,3-5,Isto não é,"Este pequeno livro explora uma relação original entre as imagens e o texto, uma vez que este não descreve ou legenda as imagens, mas diz antes o que elas não são, o que conduz o leitor à procura de relações e afinidades das imagens com esses conceitos negados. A leitura quase se automatiza nesse processo, até às últimas páginas, que incluem uma surpresa.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=535290&img=62309&res=100&thb=1&pag=1,"Taylor, Marco, 1973-","[S.l.] : [s.n.], 2022",,Literatura Portuguesa,087.5(0-5)
978-989-623-311-2,3-5,O dia em que chegaste,"Este livro-álbum retrata, de uma forma sensível e delicada, a longa espera pela chegada de uma criança muito desejada. As ilustrações detalhadas sugerem pausas para reflexão e o texto contido permite inúmeras leituras, incluindo a de uma adoção feliz que mudou a vida de todos os membros de uma família até ali incompleta.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=550899&img=81657&res=100&thb=1&pag=1,"Brown, Dolores;Dalvand, Reza, il.","Lisboa : Fábula, 2022",,,087.5(5-10)
978-989-9071-01-8,3-5,Floco de neve,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=522504&img=59154&res=100&thb=1&pag=1,"Davies, Benji, 1980-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2021",Orfeu mini,Literatura Inglesa,087.5(5-10)
978-989-564-887-0,3-5,Os tesouros do Leopoldo,"O Leopoldo coleciona, em frasquinhos, as suas memórias e todas as coisas boas que experiencia. Na sua casa, guarda tesouros como o som do mar, as folhas que caem no outono ou o vento que sopra antes da neve cair. Um dia, conhece alguém com quem pode partilhar e continuar a recolher memórias, mas a hora de dizer adeus assemelha-se a um frasco vazio. Neste livro-álbum, as ilustrações delicadas e evocativas captam o encanto das pequenas coisas, acrescentando sensibilidade a uma história sobre a amizade, a memória e a importância de aproveitar e partilhar os momentos felizes.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=527994&img=81662&res=100&thb=1&pag=1,"Marcero, Deborah;Ferreira, Susana Cardoso, 1972-, trad.","Lisboa : Fábula, 2022",,Literatura Americana,087.5(5-10)
978-989-749-162-7,3-5,"Fab, o monstro amarelo","Fab, o monstro amarelo, levantou-se uma manhã com uma terrível dor de cabeça, uma dor que não passava nem cantando ou fazendo exercício ou cócegas a si próprio... e nem sequer com o velho remédio da avó. Uma história simples e divertida, ao longo da qual o protagonista consegue esquecer as suas preocupações para ajudar os outros nas suas adversidades.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=550049&img=66640&res=100&thb=1&pag=1,"Solé Vendrell, Carme, 1944-;Custódio, Rita, 1980-, trad.;Tarradellas, Àlex, 1982-, trad.","Matosinhos : kalandraka, 2022",Livros para sonhar,Literatura Espanhola,087.5(5-10)
978-989-9071-18-6,3-5,Quando eu for grande,"""Mal abriu os olhos, a Rosa percebeu que era tão alta quanto a planta mais baixa da floresta, e pensou: “Agora sou pequena, mas imagino como serei quando for GRANDE!” E logo começou a sua viagem. Pelo caminho, encontrou muitos dinossauros diferentes, mas nenhum igual..""[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=530146&img=61946&res=100&thb=1&pag=1,"Bailey, Ella;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2022",Orfeu Mini,Pré-leitores,087.5(0-5)
978-989-9071-12-4,3-5,O rapaz e o gorila,"Este álbum de grande qualidade estética conta a história do processo de luto e de aceitação da perda da mãe por parte de uma criança, com o apoio da figura de um gorila, o seu amigo imaginário, estimulando, com simplicidade e contenção, a verbalização da dor, do medo, da saudade e também a reaproximação ao pai, com a partilha de sentimentos comuns. A qualidade das imagens permite acrescentar sentidos a um texto que mantém afinidades com a poesia.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=530152&img=61832&res=100&thb=1&pag=1,"Kramer, Jackie Azúa;Derby, Cindy, il.;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2022",Orfeu Mini,Literatura Americana,087.5(5-10)
978-989-9061-08-8,3-5,A luz é grande,"A descoberta da linguagem é uma das mais fantásticas que nos acontece durante a vida. Pouco a pouco descobrimos o som, a sílaba, a palavra e depois a magia das frases. Com as palavras descobrimos o mundo. Afinal, o que dizem as palavras sobre o mundo?[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=536342&img=62144&res=100&thb=1&pag=1,"Pessoa, Ana, 1982-;Estrela, Joana, 1990-, il.","Carcavelos : Planeta Tangerina, 2022",Mini micro,Literatura Portuguesa,087.5(0-5)
978-989-23-5420-0,3-5,A minha família,"Associando a palavra ""família"" a um bando de pássaros, percebe-se quanto há de comum entre os laços afetivos que unem as pessoas da mesma família e a vida intensa, feita de trabalho e amor, que descobrimos ao observar um ninho.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=536407&img=62194&res=100&thb=1&pag=1,"Mota, António, 1957-;Penela, David, il.","Alfragide : Asa, 2022",Obras de António Mota,Literatura Portuguesa,087.5(5-10)
978-989-23-5363-0,3-5,O camião das histórias,"Uma narrativa em torno da relação afetiva entre pai e filho, aprofundada pelo prazer de contar e ouvir histórias. Todas as manhãs, no longo percurso de casa para a escola, o pai recria um jogo de histórias, recorrendo à imaginação e à memória coletiva de contos tradicionais para transformar a viagem num momento inesquecível de partilha e cumplicidade. O texto, organizado numa estrutura repetitiva, promove a ludicidade fazendo um uso pontual de rimas e é acompanhado por ilustrações que contribuem para convocar o universo das intertextualidades sugeridas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=534044&img=66956&res=100&thb=1&pag=1,"Araújo, Rosário Alçada, 1973-;Furtado, Patrícia, 1977-, il.","Alfragide : Asa, 2022",,Literatura Portuguesa,087.5(5-10)
978-84-18972-12-6,3-5,Brincamos às escondidas,"Esta narrativa exclusivamente visual conta a história de um grupo de sete crianças que vai para a floresta jogar às escondidas, mas, enquanto jogam e se divertem à procura uns dos outros, descobrem muitas outras coisas que coexistem naquele espaço de aventuras e brincadeiras. O livro está construído de modo a possibilitar diferentes leituras, ora mais centradas no jogo das escondidas e no mistério da última criança a ser encontrada, ora na relação entre as crianças e o ambiente natural, cenário de muitas aventuras.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=535273&img=61938&res=100&thb=1&pag=1,"Fabregat, Verónica, 1978-","Barcelona : Akiara books, 2022",Akimira ; 1,Literatura Espanhola,087.5(5-10)
978-972-24-2062-4,3-5,Concentra-te!,"Este é o livro que trata por tu o fenómeno da atenção dispersa ou a dispersão da atenção, com um surpreendente nível de compreensão! Do estar aqui, às vezes, por acaso, ao perder-me por ali, porque sim, e acolá, porque não. Do não ficar por querer seguir e, ao mesmo tempo, fazer por voltar. """"Concentra-te!"""" aplaude a curiosidade e reconhece o valor da atração pelas ideias voadoras. Abraçar o aqui e agora e respeitar o depois, compassivamente.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=548703&img=66947&res=100&thb=1&pag=1,"Grive, Catherine, 1959-;Bertrand, Frédérique, 1969-, il.;Sacadura, Sílvia, trad.","Lisboa : Livros Horizonte, 2022",,Literatura Francesa,087.5(0-5)
978-989-9071-37-7,3-5,Aqui estamos nós : livro dos animais,"""Livro de conceitos cartonado relativo a animais. A diversidade de animais apresentados (terrestres, aquáticos e aéreos; domésticos e selvagens; mais ou menos familiares) é suportada por ilustrações mais expressivas do que realistas que atenuam a vertente didática, contribuindo para a valorização das dimensões estética e lúdica. ""[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555742&img=66960&res=100&thb=1&pag=1,"Jeffers, Oliver, 1977-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2022",Orfeu Mini,Literatura Australiana,087.5(0-5)
978-989-9061-07-1,3-5,Está a chover,"O gnu e o texugo conheceram-se há uns tempos num dia de grande ventania. Desta vez, está a chover! Mas o que pode ser melhor do que beber chá e jogar às cartas com um amigo, enquanto a chuva cai lá fora?[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=535423&img=61895&res=100&thb=1&pag=1,"Pessoa, Ana, 1982-;Matoso, Madalena, 1974-, il.","Carcavelos : Planeta Tangerina, 2022",Mini micro,Literatura Portuguesa,087.5(0-5)
978-972-21-3167-4,3-5,A fada das multiplicações,"Na Escola dos Jacarandás, onde estudam crianças de diferentes origens e culturas, a hora do lanche é hora de magia, porque poucos pães com queijo têm de chegar para todos. A Professora Inês faz o milagre da multiplicação para que ninguém fique com fome. Narrada por um dos alunos, esta é uma história ternurenta e divertida sobre partilha e solidariedade, onde também entram operações matemáticas. As ilustrações expressivas e de cores vivas ajudam a reforçar a caracterização de um espaço intercultural, alegre e acolhedor.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555591&img=66951&res=100&thb=1&pag=1,"Mésseder, João Pedro, pseud.;Peleja, Helder Teixeira, 1978-, il.","Alfragide : Caminho, 2022",,Autores Locais,087.5(5-10)
